,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality,vertexCentrEigen
150,BURT RS 1997,BURT RS 1997,0.089108911,0.242303079,0.000861253,0.002337704,0.426674978,0.426674978,49,531,3,218.2867853,0.426674978
161,CARLEY K 1992,CARLEY K 1992,0.054455446,0.235065943,0.001247191,0.001816008,0.072420518,0.072420518,265,83,8,257.8209716,0.072420518
120,BOYD DANAH 2007,BOYD DANAH 2007,0.024752475,0.216893343,0.000722427,0.001064962,0.028596401,0.028596401,526,279,2,149.7277629,0.028596401
167,CASTELLS M 2000-1,CASTELLS M 2000-1,0.03960396,0.237647059,0.000726435,0.001367011,0.091586345,0.091586345,302,499,1,218.9614546,0.091586345
194,CONTRACTOR NS 1993,CONTRACTOR NS 1993,0.066006601,0.228938421,0.001896475,0.002092649,0.124883027,0.124883027,179,592,9,412.9613335,0.124883027
484,NORRIS P 2002,NORRIS P 2002,0.089108911,0.24201278,0.00083849,0.002329436,0.431210789,0.431210789,46,376,3,213.8260082,0.431210789
124,BRIN S 1998,BRIN S 1998,0.089108911,0.237647059,0.00190096,0.002365969,0.34095647,0.34095647,72,446,10,386.8101281,0.34095647
49,BARABASI AL 2009,BARABASI AL 2009,0.037953795,0.219644799,1.77E-05,0.001230059,0.064537081,0.064537081,426,50,1,7.279647567,0.064537081
52,BARNETT G 2002,BARNETT G 2002,0.037953795,0.228679245,0.000418932,0.001289824,0.088426944,0.088426944,346,468,1,106.4658412,0.088426944
184,CLAUSET A 2004,CLAUSET A 2004,0.085808581,0.245145631,0.009730279,0.002765767,0.145037296,0.145037296,114,195,3,1800.142755,0.145037296
95,BONACICH P 1972,BONACICH P 1972,0.084158416,0.245941558,0.004264073,0.002465614,0.239773084,0.239773084,90,23,3,836.026377,0.239773084
100,BORGATTI S 2002-3,BORGATTI S 2002-3,0.082508251,0.247447938,0.003996884,0.002393775,0.229395856,0.229395856,101,475,3,831.5517453,0.229395856
236,DOERFEL ML 1999,DOERFEL ML 1999,0.082508251,0.242691229,0.00118588,0.002187808,0.425654555,0.425654555,52,254,3,300.1801786,0.425654555
131,BRUNS A 2005,BRUNS A 2005,0.067656766,0.234610918,0.002103745,0.002122732,0.120584058,0.120584058,169,34,2,444.5637492,0.120584058
394,KIM K 1996,KIM K 1996,0.082508251,0.247346939,0.002424781,0.002354809,0.234612202,0.234612202,102,285,3,536.4795165,0.234612202
133,BRUNS A 2008,BRUNS A 2008,0.056105611,0.239242006,0.004073194,0.001898341,0.097386999,0.097386999,188,207,2,935.5623959,0.097386999
134,BRUNS A 2011,BRUNS A 2011,0.034653465,0.216505895,0.000731195,0.00137308,0.026818886,0.026818886,477,317,2,132.9346216,0.026818886
135,BRUNS A 2012-1,BRUNS A 2012-1,0.028052805,0.212482468,0.000409157,0.001165176,0.018941145,0.018941145,547,318,2,88.81576467,0.018941145
136,BRUNS A 2012-2,BRUNS A 2012-2,0.04290429,0.229371688,0.000673978,0.001471703,0.066024886,0.066024886,353,331,2,151.4836344,0.066024886
137,BRUNS A 2013,BRUNS A 2013,0.01650165,0.208247423,0.000153439,0.000799039,0.011344916,0.011344916,583,141,2,31.64841385,0.011344916
138,BURGESS J 2012,BURGESS J 2012,0.011551155,0.201195219,1.37E-05,0.000624835,0.005999992,0.005999992,591,333,2,4.467012893,0.005999992
162,CARLEY K 1993,CARLEY K 1993,0.054455446,0.235065943,0.001247191,0.001816008,0.072420518,0.072420518,266,84,8,257.8209716,0.072420518
96,BONACICH P 1987,BONACICH P 1987,0.080858086,0.245443499,0.003482706,0.002362315,0.239931868,0.239931868,100,252,3,661.8574342,0.239931868
393,KIM H 2007,KIM H 2007,0.079207921,0.243863179,0.000430157,0.002079051,0.420605849,0.420605849,54,337,3,116.3449849,0.420605849
142,BURNETT R 2003,BURNETT R 2003,0.085808581,0.231828615,0.000274707,0.002149126,0.39032718,0.39032718,65,506,10,68.59983097,0.39032718
55,BARNETT GA 1993,BARNETT GA 1993,0.037953795,0.230769231,0.000839624,0.001294069,0.085132906,0.085132906,343,466,1,120.91974,0.085132906
