,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrEigen,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality
100,"KIM L, 2013","KIM L, 2013",0.086142322,0.014734286,0.275606167,0.008231938,0.005308942,0.275606167,0.275606167,79,107,6,373.9777998
64,"FU JS, 2016-2","FU JS, 2016-2",0.172284644,0.014777507,0.56965962,0.009881913,0.008654976,0.56965962,0.56965962,29,46,1,270.7846141
50,"DUBOIS E, 2015","DUBOIS E, 2015",0.082397004,0.014740794,0.208116063,0.002807112,0.004703615,0.208116063,0.208116063,90,75,6,99.07690004
157,"SEGEV E, 2013-1","SEGEV E, 2013-1",0.052434457,0.014708313,0.148516411,0.00019796,0.003078001,0.148516411,0.148516411,118,112,3,10.06635338
128,"MILAN S, 2015","MILAN S, 2015",0.06741573,0.014731034,0.140163856,0.001116083,0.004071636,0.140163856,0.140163856,112,63,2,34.12955983
173,"SU C, 2012","SU C, 2012",0.172284644,0.014766066,0.747684931,0.002684827,0.00790489,0.747684931,0.747684931,27,116,1,97.0766609
90,"IGARASHI T, 2005","IGARASHI T, 2005",0.157303371,0.014759536,0.708462191,0.002704562,0.007326492,0.708462191,0.708462191,32,183,1,128.131311
63,"FU JS, 2016-1","FU JS, 2016-1",0.048689139,0.014710744,0.124864651,0.00149708,0.003275229,0.124864651,0.124864651,120,36,3,67.44690901
99,"KIM JH, 2012","KIM JH, 2012",0.157303371,0.01475872,0.636640423,0.007768576,0.007765375,0.636640423,0.636640423,30,129,1,306.7308192
102,"KINCAID DL, 2004","KINCAID DL, 2004",0.157303371,0.014757904,0.727579857,0.001622544,0.007256158,0.727579857,0.727579857,31,192,1,89.4533226
162,"SHAH DV, 2017","SHAH DV, 2017",0.078651685,0.014739166,0.220373982,0.002428199,0.004506095,0.220373982,0.220373982,91,7,6,135.8465176
108,"LAUREN B, 2016-1","LAUREN B, 2016-1",0.157303371,0.014773419,0.625804721,0.004414623,0.007593132,0.625804721,0.625804721,35,26,1,199.3102611
141,"PARK HW, 2006","PARK HW, 2006",0.048689139,0.014705072,0.153257522,0.000139019,0.002830787,0.153257522,0.153257522,121,177,3,10.86267592
